"code","outcrop","analysed.material","period","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0046",NA,"Pb metal","s. XV",18.34,15.65,38.48,0.853,2.098,307,9.74,3.9889,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0047",NA,"Pb metal","s. XV",18.48,15.64,38.52,0.846,2.085,183,9.67,3.9128,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0048",NA,"Pb metal","s. XV",18.42,15.64,38.53,0.849,2.091,228,9.68,3.9579,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0049",NA,"Pb metal","s. XV",18.09,15.62,38.16,0.863,2.109,437,9.68,3.9759,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0050",NA,"Pb metal","s. XV",18.08,15.63,38.17,0.864,2.111,463,9.73,3.992,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0051",NA,"Pb metal","s. XV",18.14,15.64,38.25,0.862,2.109,436,9.75,3.998,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0052",NA,"Pb metal","s. XV",18.47,15.64,38.47,0.847,2.083,190,9.67,3.8932,"Brill et al, 1987","Ref.011",37.33,2
"GDM.0060","Monte Romero","Silver","Bronze Age",18.224,15.635,38.222,0.858,2.097,365,9.71,3.923,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0061","Monte Romero","Silver","Bronze Age",18.267,15.668,38.304,0.858,2.097,394,9.83,3.9498,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0062","Monte Romero","Silver","Bronze Age",18.23,15.643,38.281,0.858,2.1,375,9.74,3.9539,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0063","Monte Romero","Silver","Bronze Age",18.208,15.638,38.241,0.859,2.1,382,9.73,3.9454,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0064","Monte Romero","Silver","Bronze Age",18.251,15.668,38.356,0.858,2.102,406,9.83,3.989,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0065","Monte Romero","Silver","Bronze Age",18.233,15.649,38.273,0.858,2.099,384,9.76,3.9495,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0066","Monte Romero","Silver","Bronze Age",18.233,15.686,38.275,0.86,2.099,452,9.91,3.9632,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0067","Monte Romero","Silver","Bronze Age",18.213,15.629,38.216,0.858,2.098,362,9.69,3.9252,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0068","Monte Romero","Silver","Bronze Age",18.226,15.637,38.249,0.858,2.099,367,9.72,3.9371,"Kassianidou, 1992","Ref.013",37.780829,-6.789095
"GDM.0436","Corta Lago","Pb metal","Bronze Age",18.204,15.626,38.378,0.858,2.108,363,9.68,4.019,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0437","Corta Lago","Pb metal","Bronze Age",18.362,15.711,38.652,0.856,2.105,403,9.98,4.0873,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0438","Corta Lago","Pb metal","Bronze Age",18.393,15.682,38.622,0.853,2.1,328,9.86,4.0399,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0439","Corta Lago","Ore mix","Bronze Age",18.364,15.69,38.581,0.854,2.101,364,9.89,4.0406,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0440","Corta Lago","Pb metal","Bronze Age",18.354,15.683,38.565,0.855,2.101,358,9.87,4.0365,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0441","Corta Lago","Pb metal","Bronze Age",18.367,15.695,38.609,0.855,2.102,371,9.91,4.0553,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0442","Corta Lago","Pb metal","Bronze Age",18.391,15.734,38.685,0.856,2.103,424,10.06,4.0929,"Stos-Gale, 2001","Ref.030",37.700719,-6.613679
"GDM.0443","Monte Romero","Pb metal","Bronze Age",18.218,15.626,38.196,0.858,2.097,352,9.67,3.9098,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0444","Monte Romero","Pb metal","Bronze Age",18.22,15.631,38.211,0.858,2.097,360,9.69,3.9184,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0445","Monte Romero","Pb metal","Bronze Age",18.212,15.626,38.198,0.858,2.097,357,9.68,3.915,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0446","Monte Romero","Pb metal","Bronze Age",18.221,15.632,38.224,0.858,2.098,361,9.7,3.9251,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0447","Monte Romero","Pb metal","Bronze Age",18.236,15.643,38.255,0.858,2.098,371,9.74,3.9356,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0448","Monte Romero","Pb metal","Bronze Age",18.224,15.634,38.23,0.858,2.098,363,9.7,3.9271,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0449","Monte Romero","Pb metal","Bronze Age",18.227,15.637,38.238,0.858,2.098,366,9.72,3.9304,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0450","Monte Romero","Pb metal","Bronze Age",18.214,15.629,38.215,0.858,2.098,361,9.69,3.9239,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0451","Monte Romero","Pb metal","Bronze Age",18.225,15.637,38.24,0.858,2.098,368,9.72,3.9329,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0452","Monte Romero","Pb metal","Bronze Age",18.213,15.629,38.216,0.858,2.098,362,9.69,3.9252,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0453","Monte Romero","Pb metal","Bronze Age",18.226,15.64,38.249,0.858,2.099,373,9.73,3.9381,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0454","Monte Romero","Pb metal","Bronze Age",18.202,15.623,38.201,0.858,2.099,359,9.67,3.9224,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0455","Monte Romero","Pb metal","Bronze Age",18.23,15.643,38.261,0.858,2.099,375,9.74,3.943,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0456","Monte Romero","Pb metal","Bronze Age",18.231,15.648,38.267,0.858,2.099,384,9.76,3.9473,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0457","Monte Romero","Pb metal","Bronze Age",18.221,15.637,38.246,0.858,2.099,371,9.72,3.9389,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0458","Monte Romero","Pb metal","Bronze Age",18.239,15.653,38.285,0.858,2.099,387,9.78,3.9534,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0459","Monte Romero","Pb metal","Bronze Age",18.23,15.647,38.267,0.858,2.099,383,9.76,3.9476,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0460","Monte Romero","Pb metal","Bronze Age",18.23,15.647,38.268,0.858,2.099,383,9.76,3.9482,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0461","Monte Romero","Pb metal","Bronze Age",18.23,15.649,38.276,0.858,2.1,386,9.76,3.9532,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0462","Monte Romero","Pb metal","Bronze Age",18.23,15.65,38.279,0.859,2.1,388,9.77,3.9552,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0463","Monte Romero","Pb metal","Bronze Age",18.252,15.668,38.331,0.858,2.1,405,9.83,3.9747,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0464","Monte Romero","Pb metal","Bronze Age",18.249,15.665,38.332,0.858,2.1,402,9.82,3.9763,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0465","Monte Romero","Pb metal","Bronze Age",18.229,15.653,38.292,0.859,2.101,395,9.78,3.964,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0466","Monte Romero","Pb metal","Bronze Age",18.241,15.662,38.323,0.859,2.101,402,9.81,3.9758,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0467","Monte Romero","Pb metal","Bronze Age",18.254,15.675,38.352,0.859,2.101,417,9.86,3.9872,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0468","Monte Romero","Pb metal","Bronze Age",18.244,15.664,38.332,0.859,2.101,404,9.82,3.9794,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0469","Monte Romero","Pb metal","Bronze Age",18.251,15.67,38.347,0.859,2.101,410,9.84,3.9848,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0470","Monte Romero","Pb metal","Bronze Age",18.244,15.668,38.34,0.859,2.102,411,9.84,3.9851,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0471","Monte Romero","Pb metal","Bronze Age",18.264,15.685,38.391,0.859,2.102,428,9.9,4.0049,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0472","Monte Romero","Pb metal","Bronze Age",18.248,15.673,38.357,0.859,2.102,417,9.86,3.9933,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0473","Monte Romero","Pb metal","Bronze Age",18.254,15.677,38.372,0.859,2.102,420,9.87,3.9987,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0474","Monte Romero","Pb metal","Bronze Age",18.269,15.693,38.412,0.859,2.103,438,9.93,4.0156,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0475","Monte Romero","Pb metal","Bronze Age",18.268,15.692,38.418,0.859,2.103,437,9.93,4.0193,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0476","Monte Romero","Pb metal","Bronze Age",18.27,15.696,38.429,0.859,2.103,443,9.94,4.0252,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0477","Rio Tinto","Pb metal","Bronze Age",18.73,16.119,39.275,0.861,2.097,812,11.57,4.2933,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0478","Rio Tinto","Pb metal","Bronze Age",18.21,15.639,38.248,0.859,2.1,383,9.73,3.9482,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.0479","Rio Tinto","Pb metal","Bronze Age",18.254,15.667,38.52,0.858,2.11,402,9.83,4.0759,"Stos-Gale, 2001","Ref.030",37.780829,-6.789095
"GDM.2573","Cabrera 5","Pb metal","Roman",18.234,15.616,38.368,0.856,2.104,321,9.63,3.9891,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2574","Cabrera 5","Pb metal","Roman",18.226,15.606,38.33,0.856,2.103,308,9.59,3.9704,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2575","Cabrera 5","Pb metal","Roman",18.188,15.601,38.312,0.858,2.107,327,9.58,3.9851,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2576","Cabrera 5","Pb metal","Roman",18.208,15.595,38.289,0.856,2.103,301,9.55,3.9566,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2577","Cabrera 5","Pb metal","Roman",18.206,15.603,38.313,0.858,2.104,318,9.59,3.9739,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2578","Cabrera 5","Pb metal","Roman",18.235,15.613,38.336,0.856,2.102,315,9.62,3.97,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2579","Cabrera 5","Pb metal","Roman",18.254,15.611,38.335,0.855,2.1,297,9.61,3.9557,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2580","Cabrera 5","Pb metal","Roman",18.223,15.608,38.337,0.856,2.104,314,9.6,3.977,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2581","Cabrera 5","Pb metal","Roman",18.213,15.617,38.368,0.858,2.107,339,9.64,4.004,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2582","Cabrera 5","Pb metal","Roman",18.194,15.612,38.341,0.858,2.108,344,9.62,4.0007,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2583","Cabrera 5","Pb metal","Roman",18.242,15.631,38.428,0.857,2.107,344,9.69,4.0216,"Trincherini et al., 2001","Ref.031",39.129498,2.935397
"GDM.2755","Cap d'en Font","Pb metal","Roman",18.198,15.595,38.299,0.857,2.104,308,9.56,3.9689,"Rodá, 2004","Ref.039",39.827571,4.211018
"GDM.1075","Peñalosa","Cu metal","Bronze Age",22.866,15.836,38.613,0.693,1.689,-3068,10.05,2.1686,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1076","Peñalosa","Cu mineral","Bronze Age",19.683,15.686,38.662,0.797,1.964,-650,9.67,3.307,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1077","Peñalosa","Cu mineral","Bronze Age",18.527,15.628,38.446,0.844,2.075,124,9.61,3.8394,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1078","Peñalosa","Pb mineral","Bronze Age",20.038,15.747,38.928,0.786,1.943,-788,9.85,3.2679,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1079","Peñalosa","Pb mineral","Bronze Age",18.861,15.636,38.399,0.829,2.036,-116,9.59,3.613,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1080","Peñalosa","Galena","Bronze Age",18.304,15.648,38.454,0.855,2.101,330,9.74,3.9989,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1081","Peñalosa","Cu mineral","Bronze Age",18.287,15.618,38.344,0.854,2.097,285,9.63,3.9406,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1082","Peñalosa","Pb mineral","Bronze Age",18.419,15.786,38.897,0.857,2.112,495,10.27,4.2045,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1083","Peñalosa","Pb mineral","Bronze Age",19.605,15.665,38.667,0.799,1.972,-638,9.6,3.3411,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1084","Peñalosa","Galena","Bronze Age",18.28,15.6,38.283,0.853,2.094,256,9.56,3.9061,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1085","Peñalosa","Galena","Bronze Age",18.28,15.613,38.326,0.854,2.097,281,9.61,3.9338,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1086","Peñalosa","Cu mineral","Bronze Age",18.282,15.619,38.357,0.854,2.098,291,9.63,3.9513,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1087","Peñalosa","Galena","Bronze Age",18.29,15.632,38.408,0.855,2.1,310,9.68,3.978,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1088","Peñalosa","Cu mineral","Bronze Age",18.94,15.641,38.439,0.826,2.03,-167,9.59,3.5882,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
"GDM.1089","Peñalosa","Galena","Bronze Age",18.305,15.634,38.396,0.854,2.098,303,9.69,3.962,"Hunt-Ortiz et al., 2011","Ref.042",38.174382,-3.768877
