"code","outcrop","analysed.material","period","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.2925","Las Pilas","Cu metal","Copper Age",18.807,15.68,39.028,0.834,2.075,16,9.76,3.9729,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2926","Las Pilas","Cu metal","Copper Age",18.767,15.69,39.01,0.836,2.079,66,9.81,3.9935,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2927","Las Pilas","Cu metal","Copper Age",18.817,15.696,39.084,0.834,2.077,41,9.82,4.0001,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2928","Las Pilas","Cu metal","Copper Age",18.818,15.696,39.08,0.834,2.077,40,9.82,3.9975,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2929","Las Pilas","Cu metal","Copper Age",18.659,15.692,38.793,0.841,2.079,150,9.84,3.9549,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2930","Las Pilas","Cu metal","Copper Age",18.552,15.686,38.674,0.846,2.085,218,9.83,3.9618,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2931","Las Pilas","Cu metal","Copper Age",18.568,15.689,38.697,0.845,2.084,212,9.84,3.9642,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2932","Santa Bárbara","Cu metal","Copper Age",18.658,15.698,38.783,0.841,2.079,163,9.86,3.9526,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2933","Santa Bárbara","Cu metal","Copper Age",18.511,15.679,38.648,0.847,2.088,235,9.82,3.9729,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2934","Santa Bárbara","Cu metal","Copper Age",18.788,15.7,38.998,0.836,2.076,70,9.84,3.9775,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2935","Santa Bárbara","Cu metal","Copper Age",18.86,15.706,38.997,0.833,2.068,29,9.85,3.933,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2936","Santa Bárbara","Cu metal","Copper Age",18.687,15.69,38.812,0.84,2.077,126,9.82,3.9457,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2937","Santa Bárbara","Cu metal","Copper Age",18.694,15.693,38.87,0.839,2.079,126,9.83,3.9716,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2938","Santa Bárbara","Cu metal","Copper Age",18.611,15.692,38.754,0.843,2.082,186,9.85,3.9664,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2939","Santa Bárbara","Cu metal","Copper Age",18.617,15.697,38.764,0.843,2.082,191,9.86,3.9693,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2940","Santa Bárbara","Cu metal","Copper Age",18.716,15.7,38.896,0.839,2.078,124,9.86,3.973,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2941","Santa Bárbara","Cu metal","Copper Age",18.662,15.695,38.806,0.841,2.079,154,9.85,3.9607,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2942","Santa Bárbara","Cu metal","Copper Age",18.586,15.698,38.732,0.845,2.084,215,9.87,3.9734,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2943","Santa Bárbara","Cu metal","Copper Age",18.622,15.694,38.759,0.843,2.081,182,9.85,3.9624,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2944","Santa Bárbara","Cu metal","Copper Age",18.641,15.696,38.796,0.842,2.081,172,9.86,3.9696,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2945","Santa Bárbara","Cu metal","Copper Age",18.535,15.671,38.678,0.845,2.087,202,9.78,3.9698,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2946","Santa Bárbara","Cu metal","Copper Age",18.734,15.691,38.812,0.838,2.072,93,9.82,3.9157,"Murillo-Barroso et al., 2020","Ref.133",37.350192,-1.963699
"GDM.2947","Almizarique","Cu metal","Copper Age",18.841,15.67,38.96,0.832,2.068,-30,9.72,3.9137,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2948","Almizarique","Cu metal","Copper Age",18.745,15.694,38.963,0.837,2.079,90,9.83,3.9857,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2949","Almizarique","Cu metal","Copper Age",18.751,15.694,38.969,0.837,2.078,86,9.83,3.9848,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2950","Almizarique","Cu metal","Copper Age",18.637,15.691,38.75,0.842,2.079,165,9.84,3.9469,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2951","Almizarique","Cu metal","Copper Age",18.748,15.71,38.989,0.838,2.08,120,9.89,4.0026,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2952","Almizarique","Cu metal","Copper Age",18.714,15.688,38.911,0.838,2.079,102,9.81,3.9775,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2953","Almizarique","Cu metal","Copper Age",18.441,15.682,38.63,0.85,2.095,292,9.84,4.0115,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2954","Almizarique","Cu metal","Copper Age",18.655,15.693,38.788,0.841,2.079,155,9.84,3.9553,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2955","Almizarique","Cu metal","Copper Age",18.552,15.679,38.667,0.845,2.084,205,9.81,3.9557,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2956","Almizarique","Cu metal","Copper Age",18.702,15.694,38.865,0.839,2.078,122,9.84,3.9642,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2957","Almizarique","Cu metal","Copper Age",18.56,15.694,38.738,0.846,2.087,227,9.86,3.9925,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2958","Almizarique","Cu metal","Copper Age",18.699,15.685,38.899,0.839,2.08,107,9.8,3.9802,"Murillo-Barroso et al., 2020","Ref.133",37.264795,-1.788293
"GDM.2959","Las Churuletas 1","Cu metal","Copper Age",18.096,15.623,38.108,0.863,2.106,438,9.69,3.9435,"Murillo-Barroso et al., 2020","Ref.133",37.353888,-2.247296
"GDM.2960","La Encantada","Cu metal","Copper Age",18.455,15.662,38.572,0.849,2.09,244,9.76,3.9644,"Murillo-Barroso et al., 2020","Ref.133",37.2678,-1.792331
"GDM.2961","La Encantada","Cu metal","Copper Age",18.407,15.687,38.617,0.852,2.098,327,9.87,4.0294,"Murillo-Barroso et al., 2020","Ref.133",37.2678,-1.792331
"GDM.2962","Loma de Belmonte","Cu metal","Copper Age",18.717,15.7,38.847,0.839,2.076,123,9.86,3.9475,"Murillo-Barroso et al., 2020","Ref.133",37.106054,-1.854406
"GDM.2005","Montelirio","Hg mineral","Copper Age",18.653,15.659,38.728,0.839,2.076,90,9.71,3.9139,"Rodríguez et al., 2020","Ref.134",37.41,-6.058889
"GDM.2006","Humanejos","Hg mineral","Copper Age",18.715,15.719,39.088,0.84,2.089,161,9.93,4.0776,"Rodríguez et al., 2020","Ref.134",40.2225,-3.786944
"GDM.2007","La Velilla","Hg mineral","Copper Age",18.413,15.705,38.758,0.853,2.105,356,9.94,4.1066,"Rodríguez et al., 2020","Ref.134",42.416389,-4.391111
"GDM.2640",NA,"Cu metal","Roman",18.672,15.626,38.826,0.837,2.079,9,9.58,3.9392,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2641",NA,"Cu metal","Roman",18.709,15.661,38.958,0.837,2.082,52,9.71,3.9946,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2642",NA,"Cu metal","Roman",18.674,15.623,38.791,0.837,2.077,1,9.57,3.9191,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2643",NA,"Cu metal","Roman",18.648,15.607,38.803,0.837,2.081,-12,9.51,3.9361,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2644",NA,"Cu metal","Roman",18.664,15.616,38.815,0.837,2.08,-6,9.54,3.9351,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2645",NA,"Cu metal","Roman",18.68,15.626,38.826,0.837,2.078,3,9.58,3.934,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2646",NA,"Cu metal","Roman",18.658,15.611,38.791,0.837,2.079,-12,9.52,3.925,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2647",NA,"Cu metal","Roman",18.698,15.642,38.846,0.837,2.078,22,9.64,3.9383,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2648",NA,"Cu metal","Roman",18.662,15.621,38.854,0.837,2.082,6,9.56,3.958,"Sinner et al., 2020","Ref.136",37.33,2
"GDM.2649","Ilduro , Ca l’Arnau ","Cu metal","Roman",18.693,15.655,38.937,0.837,2.083,52,9.69,3.9923,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2650","Ilduro , Ca l’Arnau ","Cu metal","Roman",18.626,15.597,38.801,0.837,2.083,-16,9.48,3.9457,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2651","Ilduro , Ca l’Arnau ","Cu metal","Roman",18.673,15.622,38.841,0.837,2.08,0,9.56,3.9446,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2652","Ilduro , Ca l’Arnau ","Pb metal","Roman",18.667,15.616,38.776,0.837,2.077,-8,9.54,3.9134,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2653","Ilduro , Can Rodon ","Pb metal","Roman",18.256,15.612,38.272,0.855,2.097,297,9.61,3.9206,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2654","Ilduro , Ca l’Arnau ","Pb metal","Roman",18.681,15.634,38.847,0.837,2.079,18,9.61,3.9469,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2655","Ilduro , Can Rodon ","Pb metal","Roman",18.7,15.624,38.782,0.835,2.074,-17,9.57,3.8981,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2656","Ilduro , Can Mateu ","Pb metal","Roman",18.671,15.627,38.817,0.837,2.079,12,9.58,3.9356,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2657","Ilduro , Can Mateu ","Pb metal","Roman",18.411,15.625,38.512,0.849,2.092,205,9.63,3.9491,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2658","Ilduro , Can Mateu ","Pb metal","Roman",18.438,15.616,38.542,0.847,2.09,167,9.59,3.9436,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2659","Ilduro , Can Benet ","Pb metal","Roman",18.378,15.609,38.444,0.849,2.092,199,9.57,3.9295,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2660","Ilduro , Can Mateu ","Pb metal","Roman",18.287,15.612,38.332,0.854,2.096,274,9.6,3.932,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2661","Ilduro , Can Rodon ","Pb metal","Roman",18.693,15.647,38.893,0.837,2.085,36,9.66,3.9671,"Sinner et al., 2020","Ref.136",41.526551,2.392239
"GDM.2978","Fajoas","Cu metal","Bronze Age",17.462,15.508,37.594,0.888,2.153,706,9.41,4.0662,"Soares et al., 2020","Ref.137",38.439671,-7.882763
"GDM.2979","Fajoas","Cu metal","Bronze Age",18.803,15.667,38.707,0.833,2.059,-7,9.71,3.8111,"Soares et al., 2020","Ref.137",38.439671,-7.882763
"GDM.2980","Três Moinhos","Cu metal","Bronze Age",31.225,16.33,38.807,0.523,1.243,-17515,11.65,0.8481,"Soares et al., 2020","Ref.137",37.989109,-7.653076
"GDM.2981","Três Moinhos","Cu metal","Bronze Age",18.705,15.689,38.807,0.839,2.076,111,9.82,3.9311,"Soares et al., 2020","Ref.137",37.989109,-7.653076
"GDM.2982","São Brás 3","Cu metal","Bronze Age",18.57,15.669,38.678,0.844,2.083,172,9.76,3.9461,"Soares et al., 2020","Ref.137",37.903841,-7.638525
"GDM.2983","Porto Mourão","Cu metal","Bronze Age",18.591,15.684,38.778,0.844,2.086,185,9.82,3.9888,"Soares et al., 2020","Ref.137",38.214228,-7.421436
"GDM.2585","Bosc de Can Rita","Cu metal","Bronze Age",18.553,15.663,38.627,0.844,2.082,173,9.74,3.9286,"Sureda, 2020","Ref.138",38.710792,1.447331
"GDM.2586","Can Marià Gallet","Cu metal","Bronze Age",18.446,15.674,38.586,0.85,2.092,274,9.81,3.9821,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2587","Can Marià Gallet","Cu metal","Bronze Age",18.538,15.685,38.658,0.847,2.085,227,9.83,3.9624,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2588","Can Marià Gallet","Cu metal","Bronze Age",18.708,15.687,39.001,0.838,2.085,104,9.81,4.0266,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2589","Can Marià Gallet","Cu metal","Bronze Age",18.574,15.705,38.699,0.846,2.084,238,9.9,3.9669,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2590","Can Marià Gallet","Cu metal","Bronze Age",18.433,15.669,38.555,0.85,2.092,274,9.79,3.9727,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2591","Can Marià Gallet","Cu metal","Bronze Age",18.247,15.634,38.411,0.857,2.105,346,9.7,4.0099,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2592","Can Marià Gallet","Cu metal","Bronze Age",18.467,15.695,38.63,0.85,2.092,298,9.89,3.9985,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2593","Can Marià Gallet","Cu metal","Bronze Age",18.27,15.64,38.437,0.856,2.104,340,9.72,4.0102,"Sureda, 2020","Ref.138",38.711904,1.411813
"GDM.2594","Can Pere Joan","Cu metal","Bronze Age",18.392,15.664,38.548,0.852,2.096,295,9.78,3.9948,"Sureda, 2020","Ref.138",38.953113,1.447056
"GDM.2595","Can Pere Joan","Cu metal","Bronze Age",18.738,15.705,38.976,0.838,2.08,117,9.87,4.0008,"Sureda, 2020","Ref.138",38.953113,1.447056
"GDM.2596","Cap de Barbaria II","Cu metal","Bronze Age",18.342,15.666,38.541,0.854,2.101,335,9.8,4.0259,"Sureda, 2020","Ref.138",38.659846,1.403469
"GDM.2597","Cap de Barbaria II","Cu metal","Bronze Age",18.427,15.648,38.488,0.849,2.089,238,9.71,3.9339,"Sureda, 2020","Ref.138",38.659846,1.403469
"GDM.2598","La Sabina ","Cu metal","Bronze Age",18.281,15.643,38.392,0.856,2.1,337,9.73,3.9794,"Sureda, 2020","Ref.138",38.727704,1.418597
"GDM.2599","La Sabina ","Cu metal","Bronze Age",18.321,15.638,38.324,0.854,2.092,298,9.7,3.9139,"Sureda, 2020","Ref.138",38.727704,1.418597
"GDM.2600","La Sabina ","Cu metal","Bronze Age",18.421,15.665,38.575,0.85,2.094,275,9.78,3.9899,"Sureda, 2020","Ref.138",38.727704,1.418597
"GDM.2601","La Sabina ","Cu metal","Bronze Age",18.609,15.699,38.729,0.844,2.081,201,9.87,3.9573,"Sureda, 2020","Ref.138",38.727704,1.418597
"GDM.2602","Ses Salines ","Cu metal","Bronze Age",18.465,15.659,38.633,0.848,2.092,231,9.75,3.9887,"Sureda, 2020","Ref.138",38.853352,1.38953
"GDM.2468","Emporion","Silver","Roman",18.696,15.678,38.955,0.839,2.084,96,9.78,4.0081,"Westner et al., 2020","Ref.139",42.135025,3.120654
"GDM.2469","Unknow","Silver","Roman",18.35,15.631,38.443,0.852,2.095,262,9.66,3.9552,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2470","Unknow","Silver","Roman",18.738,15.677,38.779,0.837,2.07,62,9.76,3.892,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2471","Unknow","Silver","Roman",18.542,15.69,38.82,0.846,2.094,232,9.85,4.0456,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2472","Unknow","Silver","Roman",18.622,15.688,38.902,0.842,2.089,171,9.83,4.0337,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2473","Unknow","Silver","Roman",18.83,15.679,38.846,0.833,2.063,-2,9.76,3.8674,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2474","Unknow","Silver","Roman",18.834,15.682,38.853,0.833,2.063,0,9.76,3.8697,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2475","Unknow","Silver","Roman",18.817,15.679,38.846,0.833,2.064,8,9.76,3.8763,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2476","Unknow","Silver","Roman",18.8,15.681,38.872,0.834,2.068,23,9.77,3.9,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2477","Unknow","Silver","Roman",18.84,15.683,38.851,0.832,2.062,-3,9.77,3.865,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2478","Unknow","Silver","Roman",18.809,15.681,38.857,0.834,2.066,17,9.77,3.8869,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2479","Unknow","Silver","Roman",18.819,15.678,38.843,0.833,2.064,2,9.75,3.8727,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2480","Unknow","Silver","Roman",18.76,15.674,38.795,0.836,2.068,40,9.75,3.8844,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2481","Unknow","Silver","Roman",18.844,15.684,38.853,0.832,2.062,-4,9.77,3.8639,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2482","Unknow","Silver","Roman",18.536,15.679,38.657,0.846,2.086,217,9.81,3.9614,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2483","Unknow","Silver","Roman",18.711,15.686,38.999,0.838,2.084,101,9.8,4.0236,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2484","Unknow","Silver","Roman",18.785,15.68,38.86,0.835,2.069,32,9.76,3.9031,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2485","Unknow","Silver","Roman",18.591,15.674,38.82,0.843,2.088,165,9.78,4.0067,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2486","Unknow","Silver","Roman",18.582,15.675,38.798,0.844,2.088,174,9.78,4.0018,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2487","Unknow","Silver","Roman",18.733,15.682,38.87,0.837,2.075,76,9.78,3.9425,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2488","Unknow","Silver","Roman",18.743,15.679,38.826,0.837,2.072,63,9.77,3.913,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2489","Unknow","Silver","Roman",18.537,15.672,38.753,0.846,2.091,204,9.79,4.0082,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2490","Unknow","Silver","Roman",18.568,15.689,38.749,0.845,2.087,211,9.84,3.9911,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2491","Unknow","Silver","Roman",18.615,15.693,38.858,0.843,2.087,185,9.85,4.0174,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2492","Unknow","Silver","Roman",18.571,15.688,38.787,0.845,2.089,207,9.84,4.0084,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2493","Unknow","Silver","Roman",18.58,15.691,38.815,0.844,2.089,206,9.85,4.0179,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2494","Unknow","Silver","Roman",18.605,15.688,38.843,0.843,2.088,183,9.83,4.0147,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2495","Unknow","Silver","Roman",18.667,15.687,38.93,0.84,2.086,134,9.81,4.018,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2496","Unknow","Silver","Roman",18.611,15.69,38.849,0.843,2.087,182,9.84,4.0145,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2497","Unknow","Silver","Roman",18.569,15.667,38.796,0.844,2.089,168,9.76,4.0063,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2498","Unknow","Silver","Roman",18.564,15.687,38.772,0.845,2.089,210,9.84,4.005,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2499","Unknow","Silver","Roman",18.567,15.67,38.768,0.844,2.088,176,9.77,3.9945,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2500","Unknow","Silver","Roman",18.402,15.645,38.583,0.85,2.097,252,9.71,3.9997,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2501","Unknow","Silver","Roman",18.645,15.672,38.835,0.841,2.083,122,9.76,3.9784,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2502","Unknow","Silver","Roman",18.548,15.678,38.69,0.845,2.086,205,9.8,3.9697,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2503","Unknow","Silver","Roman",18.631,15.684,38.865,0.842,2.086,156,9.81,4.0073,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2504","Unknow","Silver","Roman",18.666,15.688,38.884,0.84,2.083,137,9.82,3.995,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2505","Unknow","Silver","Roman",18.631,15.678,38.89,0.841,2.087,144,9.79,4.0177,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2506","Unknow","Silver","Roman",18.56,15.671,38.796,0.844,2.09,182,9.77,4.0139,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2507","Unknow","Silver","Roman",18.709,15.685,38.988,0.838,2.084,99,9.8,4.0184,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2508","Unknow","Silver","Roman",18.72,15.683,38.995,0.838,2.083,87,9.79,4.0139,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2509","Unknow","Silver","Roman",18.592,15.683,38.842,0.844,2.089,183,9.81,4.0211,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2510","Unknow","Silver","Roman",18.658,15.682,38.894,0.841,2.085,132,9.8,4.0036,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2511","Unknow","Silver","Roman",18.601,15.679,38.842,0.843,2.088,168,9.8,4.0133,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2512","Unknow","Silver","Roman",18.385,15.649,38.563,0.851,2.098,271,9.72,4.0023,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2513","Unknow","Silver","Roman",18.594,15.681,38.836,0.843,2.089,177,9.81,4.0154,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2514","Unknow","Silver","Roman",18.503,15.665,38.716,0.847,2.092,215,9.76,4.0086,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2515","Unknow","Silver","Roman",18.254,15.638,38.409,0.857,2.104,348,9.71,4.0049,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2516","Unknow","Silver","Roman",18.684,15.678,38.906,0.839,2.082,104,9.78,3.9906,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2517","Unknow","Silver","Roman",18.667,15.678,38.874,0.84,2.082,117,9.78,3.9858,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2518","Unknow","Silver","Roman",18.54,15.668,38.769,0.845,2.091,193,9.77,4.0132,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2519","Unknow","Silver","Roman",18.336,15.626,38.454,0.852,2.097,263,9.64,3.9693,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2520","Unknow","Silver","Roman",18.669,15.683,38.935,0.84,2.086,125,9.8,4.0176,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2521","Unknow","Silver","Roman",18.626,15.681,38.886,0.842,2.088,154,9.8,4.0203,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2522","Unknow","Silver","Roman",18.673,15.685,38.937,0.84,2.085,126,9.81,4.0164,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2523","Unknow","Silver","Roman",18.358,15.637,38.528,0.852,2.099,268,9.68,3.998,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2524","Unknow","Silver","Roman",18.503,15.664,38.716,0.847,2.092,213,9.76,4.0085,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2525","Unknow","Silver","Roman",18.589,15.669,38.826,0.843,2.089,157,9.76,4.0093,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2526","Unknow","Silver","Roman",18.383,15.641,38.567,0.851,2.098,257,9.69,4.0031,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2527","Unknow","Silver","Roman",18.524,15.664,38.745,0.846,2.092,197,9.76,4.0094,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2528","Unknow","Silver","Roman",18.699,15.684,38.936,0.839,2.082,106,9.8,3.9988,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2529","Unknow","Silver","Roman",18.12,15.645,38.258,0.863,2.111,460,9.78,4.0182,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2530","Unknow","Silver","Roman",18.751,15.674,38.859,0.836,2.072,46,9.75,3.9225,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2531","Unknow","Silver","Roman",18.7,15.686,38.984,0.839,2.085,107,9.8,4.0229,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2532","Unknow","Silver","Roman",18.681,15.678,38.95,0.839,2.085,107,9.78,4.0155,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2533","Unknow","Silver","Roman",18.323,15.619,38.418,0.852,2.097,259,9.62,3.9562,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2534","Unknow","Silver","Roman",18.397,15.667,38.539,0.852,2.095,297,9.8,3.9876,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2535","Unknow","Silver","Roman",18.716,15.683,38.995,0.838,2.083,90,9.79,4.0167,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2536","Unknow","Silver","Roman",18.71,15.682,38.903,0.838,2.079,93,9.79,3.9739,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2537","Unknow","Silver","Roman",18.794,15.685,38.843,0.835,2.067,36,9.78,3.8909,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2538","Unknow","Silver","Roman",18.568,15.672,38.637,0.844,2.081,180,9.78,3.9277,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2539","Unknow","Silver","Roman",18.689,15.676,38.784,0.839,2.075,96,9.77,3.9246,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2540","Unknow","Silver","Roman",18.808,15.682,38.861,0.834,2.066,19,9.77,3.8899,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2541","Unknow","Silver","Roman",18.844,15.68,38.842,0.832,2.061,-11,9.76,3.8572,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2542","Unknow","Silver","Roman",18.803,15.673,38.847,0.834,2.066,5,9.74,3.8826,"Westner et al., 2020","Ref.139",37.33,2
"GDM.2069","Torre Dona Blanca mine","Litharge",NA,18.18,15.631,38.2,0.86,2.101,389,9.7,3.9396,"OXALID, Hunt-Ortiz","Ref.140",36.628076,-6.161499
"GDM.2070","Torre Dona Blanca mine","Litharge",NA,18.079,15.518,37.774,0.858,2.089,248,9.28,3.7332,"OXALID, Hunt-Ortiz","Ref.140",36.628076,-6.161499
"GDM.2071","Torre Dona Blanca mine","Litharge",NA,18.209,15.668,38.314,0.86,2.104,436,9.85,3.9947,"OXALID, Hunt-Ortiz","Ref.140",36.628076,-6.161499
"GDM.2072","Torre Dona Blanca mine","Litharge",NA,18.147,15.577,37.924,0.858,2.09,313,9.5,3.7919,"OXALID, Hunt-Ortiz","Ref.140",36.628076,-6.161499
"GDM.2073","Torre Dona Blanca mine","Litharge",NA,18.078,15.495,37.85,0.857,2.094,201,9.19,3.7678,"OXALID, Hunt-Ortiz","Ref.140",36.628076,-6.161499
