"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0035","GDM.0035","BM.40788","Spain","Almeria","Gador","S. Gador",36.951676,-2.510098,"Mineral","Galena",NA,"Pb",18.322,NA,15.661,NA,38.514,NA,0.8548,NA,2.1021,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,341,9.7888,4.0234,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
"GDM.0036","GDM.0036","JED","Spain","Jaen","Baños de la Encina","Centenillo Mine, S. Morena",38.33987,-3.732378,"Mineral","Galena",NA,"Pb",18.242,NA,15.646,NA,38.422,NA,0.8577,NA,2.1063,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,372,9.7486,4.0236,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
"GDM.0037","GDM.0037","Pb- 89, <U+FEFF>401","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Galena","Galena",NA,18.23,NA,15.65,NA,38.33,NA,0.8581,NA,2.1021,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,388,9.7677,3.9831,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0038","GDM.0038","Pb- 847, 1701","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Pb mineral","Lead",NA,18.23,NA,15.62,NA,38.39,NA,0.8571,NA,2.1061,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,332,9.6475,4.0053,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0039","GDM.0039","Pb- 848, 1702","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Galena","Earthy material",NA,18.18,NA,15.59,NA,38.36,NA,0.858,NA,2.1103,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,312,9.54,4.013,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0040","GDM.0040","Pb- 849, 1703","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Galena","Earthy material",NA,18.2,NA,15.6,NA,38.25,NA,0.8571,NA,2.101,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,316,9.5751,3.9425,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0053","GDM.0053","NBS, 676","Spain","Almeria","Sierra de Gador",NA,36.951676,-2.510098,"Mineral","Galena","Galena",NA,18.32,NA,15.66,NA,38.51,NA,0.8548,NA,2.1021,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,340,9.7853,4.0222,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0054","GDM.0054","NBS, 677","Spain","Granada",NA,NA,37.114179,-3.558737,"Mineral","Galena","Galena",NA,18.2,NA,15.59,NA,38.17,NA,0.8566,NA,2.0979,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,297,9.5353,3.8953,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0055","GDM.0055","NBS, 679","Spain","Jaen","Linares","Sierra Morena",38.140853,-3.679209,"Mineral","Galena","Galena",NA,18.24,NA,15.65,NA,38.42,NA,0.8577,NA,2.1063,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,381,9.7652,4.0253,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0056","GDM.0056","NBS, 681","Spain","Almeria",NA,"Sierra de Gador, Los Belgas mine",36.951676,-2.510098,"Mineral","Galena","Galena",NA,18.34,NA,15.67,NA,38.53,NA,0.8547,NA,2.1011,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,344,9.8204,4.0228,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0057","GDM.0057","NBS, 691","Spain","Almeria",NA,"Sierra de Gador, Frederick Julian mine",36.951676,-2.510098,"Mineral","Silver","Silver",NA,17.63,NA,14.98,NA,36.74,NA,0.85,NA,2.0844,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,-699,7.3281,3.2314,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0058","GDM.0058","NBS, 707","Portugal",NA,"Albergaria a Velha",NA,40.688019,-8.490593,"Mineral","Galena","Galena",NA,18.38,NA,15.64,NA,38.39,NA,0.8508,NA,2.0883,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,258,9.6919,3.9105,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological"
"GDM.0059","GDM.0059","NBS, 708","Spain","Córdoba","Posadas","Santa Barbara mine",37.844217,-5.095712,"Mineral","Galena","Galena",NA,18.212,NA,15.591,NA,38.173,NA,0.8561,NA,2.0961,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,290,9.5365,3.8892,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS","Cited by Hunt-Ortiz, 2003","Geological"
"GDM.0115","GDM.0115","P-21","Spain","Lugo","Rubiais","Rubiales",42.67467,-7.039144,"Mineral","Galena","Zn-Pb","Pb-Zn",17.903,NA,15.614,NA,38.014,NA,0.87214,NA,2.12333,NA,NA,NA,NA,NA,NA,"NIM","Lower Cambrian","Limestone",NA,NA,NA,NA,NA,NA,NA,565,9.7122,4.0239,"Arias, 1988","Ref.012","U. Alberta","TIMS",NA,"Geological"
"GDM.0081","GDM.0081","AZ 13","Spain","Sevilla","Aznalcollar","Aznalcollar",37.522091,-6.247384,"Mineral","Pb mineral","Py-Sp-Gn","Cu-Pb",18.161,0.003,15.622,0.002,38.16,0.00572,0.86019,NA,2.10121,NA,NA,NA,"394",NA,NA,"SPZ","Late Devonian-Middle Carboniferous",NA,"Mineral fin de la base d'amas",NA,NA,NA,NA,NA,NA,387,9.6727,3.9275,"Marcoux et al,1992","Ref.014","BRGM, Orleans","TIMS","Cited by Hunt-Ortiz, 2003","Geological"
"GDM.0082","GDM.0082","AZ 19","Spain","Sevilla","Aznalcollar","Aznalcollar",37.522091,-6.247384,"Mineral","Pb mineral","Py-Sp-Gn-Cpy-Td","Cu-Pb",18.176,0.003,15.61,0.002,38.11,0.00572,0.85882,NA,2.09672,NA,NA,NA,"359",NA,NA,"SPZ","Late Devonian-Middle Carboniferous",NA,"Mineral rubané",NA,NA,NA,NA,NA,NA,354,9.6208,3.8856,"Marcoux et al,1992","Ref.014","BRGM, Orleans","TIMS","Cited by Hunt-Ortiz, 2003","Geological"
"GDM.0083","GDM.0083","AZ 20b","Spain","Sevilla","Aznalcollar","Aznalcollar",37.522091,-6.247384,"Mineral","Pb mineral","Py-Sp-Gn-Cpy-Asp","Cu-Pb",18.199,0.003,15.646,0.002,38.223,0.00573,0.85972,NA,2.10028,NA,NA,NA,"412",NA,NA,"SPZ","Late Devonian-Middle Carboniferous",NA,"Mineral ""emborrascado""",NA,NA,NA,NA,NA,NA,404,9.7596,3.9444,"Marcoux et al,1992","Ref.014","BRGM, Orleans","TIMS","Cited by Hunt-Ortiz, 2003","Geological"
"GDM.0084","GDM.0084","AZ 10","Spain","Sevilla","Aznalcollar","Aznalcollar",37.522091,-6.247384,"Mineral","Pb mineral","Cpy-Py-(Sp-Td)","Cu-Pb",18.176,0.003,15.608,0.002,38.113,0.00572,0.85871,NA,2.09689,NA,NA,NA,"354",NA,NA,"SPZ","Late Devonian-Middle Carboniferous",NA,"Stockwerk dans pyroclastites (sous-amas?)",NA,NA,NA,NA,NA,NA,350,9.6128,3.8866,"Marcoux et al,1992","Ref.014","BRGM, Orleans","TIMS","Cited by Hunt-Ortiz, 2003","Geological"
