"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0111","Galena","NIM","Pb-Zn",17.882,15.607,38.015,0.873,2.126,568,9.69,4.0373,"Tornos,1993","Ref.015",42.67467,-7.039144
"GDM.0112","Galena","NIM","Pb-Zn",17.894,15.629,38.082,0.873,2.128,598,9.78,4.0748,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144
"GDM.0113","Galena","NIM","Pb-Zn",17.887,15.59,37.985,0.872,2.124,533,9.62,4.0105,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144
"GDM.0114","Galena","NIM","Pb-Zn",17.891,15.593,37.984,0.872,2.123,536,9.63,4.0081,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144
"GDM.0116","Galena","NIM","Pb-Zn",17.892,15.602,37.985,0.872,2.123,551,9.67,4.011,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144
"GDM.0117","Galena","NIM","Pb-Zn",17.903,15.63,38.102,0.873,2.128,593,9.78,4.0801,"Tornos&Arias,1993","Ref.015",42.67467,-7.039144
"GDM.0118","Whole rock","BC",NA,18.786,15.694,39.136,0.835,2.083,60,9.82,4.0456,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856
"GDM.0119","Whole rock","BC",NA,18.66,15.698,39.046,0.841,2.092,161,9.86,4.0855,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856
"GDM.0120","Whole rock","BC",NA,18.676,15.715,39.099,0.841,2.094,182,9.92,4.1079,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856
"GDM.0121","Whole rock","BC",NA,18.666,15.683,38.969,0.84,2.088,128,9.8,4.0367,"Arribas & Tosdal, 1994","Ref.016",37.113115,-1.987856
"GDM.0122","Whole rock","BC",NA,18.722,15.676,39.17,0.837,2.092,72,9.76,4.0985,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0123","Whole rock","BC",NA,18.653,15.678,38.982,0.841,2.09,128,9.78,4.0502,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0124","Whole rock","BC",NA,18.646,15.671,38.964,0.84,2.09,119,9.76,4.0431,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0125","Whole rock","BC",NA,18.927,15.688,39.22,0.829,2.072,-58,9.77,3.9931,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0126","Whole rock","BC",NA,18.895,15.674,39.1,0.83,2.069,-63,9.72,3.9497,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0127","Whole rock","BC",NA,18.816,15.69,39.192,0.834,2.083,29,9.8,4.0522,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0128","Whole rock","BC",NA,18.893,15.678,39.044,0.83,2.067,-53,9.74,3.925,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846
"GDM.0129","Whole rock","BC",NA,19.012,15.7,39.258,0.826,2.065,-98,9.8,3.962,"Arribas & Tosdal, 1994","Ref.016",37.039075,-2.030846
"GDM.0130","Whole rock","BC",NA,18.703,15.682,38.599,0.838,2.064,98,9.79,3.8247,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
"GDM.0131","Whole rock","BC",NA,18.912,15.734,39.12,0.832,2.069,45,9.95,3.9707,"Arribas & Tosdal, 1994","Ref.016",37.04022,-2.21292
