"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.0042","GDM.0042","Pb-1443, 1675","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.5,NA,15.66,NA,38.64,NA,0.8463,NA,2.0883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",207,9.7441,3.9694,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0043","GDM.0043","Pb-1444, 1676","Spain","Cuenca",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.36,NA,15.64,NA,38.46,NA,0.8523,NA,2.0952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",273,9.6964,3.9612,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0044","GDM.0044","Pb-1445, 1677","Spain","Sevilla",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.41,NA,15.63,NA,38.46,NA,0.8492,NA,2.0893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",216,9.6459,3.9241,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0045","GDM.0045","Pb-1447, 1679","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.24,NA,15.62,NA,38.4,NA,0.8562,NA,2.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",325,9.6451,4.0038,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0046","GDM.0046","Pb-1448, 1680","Spain","Burgos",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.34,NA,15.65,NA,38.48,NA,0.8533,NA,2.0976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",307,9.7407,3.9889,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0047","GDM.0047","Pb-1449, 1681","Spain","Avila",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.48,NA,15.64,NA,38.52,NA,0.8464,NA,2.0848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",183,9.6701,3.9128,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0048","GDM.0048","Pb-1450, 1682","Spain","Cuenca",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.42,NA,15.64,NA,38.53,NA,0.8491,NA,2.0911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",228,9.683,3.9579,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0049","GDM.0049","Pb-1476, 1522","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Cuartillo",NA,18.09,NA,15.62,NA,38.16,NA,0.8633,NA,2.1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1454-74",437,9.6832,3.9759,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0050","GDM.0050","Pb-1477, 1523","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Half Cuartillo",NA,18.08,NA,15.63,NA,38.17,NA,0.8644,NA,2.1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1454-74",463,9.7266,3.992,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
"GDM.0051","GDM.0051","Pb-1478, 1524","Spain","Cuenca",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Half Cuartillo",NA,18.14,NA,15.64,NA,38.25,NA,0.8624,NA,2.1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1454-74",436,9.7509,3.998,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
